year,capacity
2024,190.58
2025,302.49
2026,424.57
2027,556.83
2028,699.26
2029,851.86
2030,1014.64
2031,1208.63
2032,1402.28
2033,1595.58
2034,1788.53
2035,1981.14
2036,2185.21
2037,2383.03
2038,2574.59
2039,2759.9
2040,2938.96
2041,3111.76
2042,3278.32
2043,3438.61
2044,3592.66
2045,3740.45
2046,3881.99
2047,4017.27
2048,4146.31
2049,4269.08
2050,4385.61
