year,capacity
2024,207.76
2025,342.8
2026,493.96
2027,661.25
2028,844.66
2029,1044.19
2030,1259.84
2031,1531.72
2032,1799.67
2033,2063.68
2034,2323.77
2035,2579.93
2036,2843.86
2037,3098.0
2038,3342.37
2039,3576.96
2040,3801.77
2041,4016.8
2042,4222.05
2043,4417.52
2044,4603.21
2045,4779.13
2046,4945.26
2047,5101.61
2048,5248.19
2049,5384.98
2050,5512.0
