year,capacity
2024,114.86
2025,223.67
2026,397.53
2027,616.16
2028,860.65
2029,1091.04
2030,1330.05
2031,1546.13
2032,1783.21
2033,2063.69
2034,2313.64
2035,2543.15
2036,2790.06
2037,3065.9
2038,3257.1
2039,3417.29
2040,3584.92
2041,3699.56
2042,3783.98
2043,3846.67
2044,3873.45
2045,3869.31
2046,3935.65
2047,3937.76
2048,3927.54
2049,3902.18
2050,3983.02
