year,capacity
2024,174.84
2025,268.55
2026,369.99
2027,479.14
2028,596.01
2029,720.61
2030,852.92
2031,1013.87
2032,1172.07
2033,1327.54
2034,1480.28
2035,1630.27
2036,1780.57
2037,1926.61
2038,2068.39
2039,2205.91
2040,2339.17
2041,2468.17
2042,2592.92
2043,2713.41
2044,2829.63
2045,2941.6
2046,3049.31
2047,3152.77
2048,3251.96
2049,3346.89
2050,3437.57
