year,capacity_GWp
2024,764.74
2025,847.2
2026,933.45
2027,1089.09
2028,1283.9
2029,1543.82
2030,1819.84
2031,2124.83
2032,2443.96
2033,2809.52
2034,3187.39
2035,3534.17
2036,3907.98
2037,4315.41
2038,4680.09
2039,5065.49
2040,5382.69
2041,5737.32
2042,6046.75
2043,6366.94
2044,6583.69
2045,6813.29
2046,7005.83
2047,7155.64
2048,7306.69
2049,7418.51
2050,7631.24
