year,capacity_GWp
2024,1164.77
2025,1315.14
2026,1466.28
2027,1618.19
2028,1770.88
2029,1924.34
2030,2078.57
2031,2253.11
2032,2418.65
2033,2575.21
2034,2722.77
2035,2861.33
2036,2982.14
2037,3098.33
2038,3209.92
2039,3316.89
2040,3419.25
2041,3517.0
2042,3610.14
2043,3698.66
2044,3782.57
2045,3861.88
2046,3936.57
2047,4006.65
2048,4072.11
2049,4132.97
2050,4189.21
