year,capacity_GWp
2024,764.74
2025,847.2
2026,919.91
2027,1029.21
2028,1150.77
2029,1292.4
2030,1443.42
2031,1618.81
2032,1796.27
2033,1968.45
2034,2137.02
2035,2279.53
2036,2340.69
2037,2387.81
2038,2439.86
2039,2496.95
2040,2539.96
2041,2591.97
2042,2653.78
2043,2711.92
2044,2761.04
2045,2802.21
2046,2874.26
2047,2964.98
2048,3035.25
2049,3098.93
2050,3144.46
