year,capacity_GWp
2024,1199.78
2025,1389.26
2026,1583.64
2027,1782.9
2028,1987.06
2029,2196.1
2030,2410.04
2031,2655.35
2032,2892.3
2033,3120.91
2034,3341.16
2035,3553.07
2036,3748.57
2037,3939.74
2038,4126.6
2039,4309.13
2040,4487.34
2041,4661.23
2042,4830.8
2043,4996.04
2044,5156.97
2045,5313.57
2046,5465.86
2047,5613.82
2048,5757.46
2049,5896.77
2050,6031.77
