year,capacity_GWp
2024,1201.66
2025,1407.67
2026,1633.2
2027,1878.27
2028,2142.86
2029,2426.98
2030,2730.63
2031,3125.52
2032,3504.09
2033,3866.32
2034,4212.23
2035,4541.8
2036,4845.03
2037,5136.94
2038,5417.52
2039,5686.78
2040,5944.72
2041,6191.33
2042,6426.63
2043,6650.6
2044,6863.24
2045,7064.56
2046,7254.56
2047,7433.24
2048,7600.59
2049,7756.62
2050,7901.33
