year,capacity_GWp
2024,1445
2025,1676
2026,1928
2027,2197
2028,2483
2029,2781
2030,3087
2031,3396
2032,3735
2033,4109
2034,4520
2035,4972
2036,5419
2037,5853
2038,6262
2039,6638
2040,6970
2041,7318
2042,7684
2043,8069
2044,8472
2045,8896
