year,capacity_GWp
2024,2242.37
2025,2899.01
2026,3579.77
2027,4284.67
2028,5013.7
2029,5766.86
2030,6544.16
2031,7413.08
2032,8272.39
2033,9122.08
2034,9962.16
2035,10792.62
2036,11667.8
2037,12506.2
2038,13307.82
2039,14072.66
2040,14800.73
2041,15492.02
2042,16146.53
2043,16764.26
2044,17345.21
2045,17889.39
2046,18396.79
2047,18867.41
2048,19301.25
2049,19698.31
2050,20058.6

