year,capacity_GWp
2024,2165.84
2025,2778.81
2026,3448.8
2027,4175.79
2028,4959.79
2029,5800.8
2030,6698.82
2031,7842.6
2032,8949.02
2033,10018.06
2034,11049.74
2035,12044.04
2036,13023.8
2037,13954.77
2038,14836.97
2039,15670.38
2040,16455.02
2041,17190.88
2042,17877.95
2043,18516.25
2044,19105.76
2045,19646.5
2046,20138.45
2047,20581.63
2048,20976.02
2049,21321.64
2050,21618.47

