year,capacity_GWp
2024,2179.53
2025,2760.66
2026,3353.27
2027,3957.35
2028,4572.91
2029,5199.95
2030,5838.46
2031,6530.18
2032,7212.52
2033,7885.46
2034,8549.01
2035,9203.17
2036,9886.44
2037,10541.07
2038,11167.05
2039,11764.4
2040,12333.11
2041,12873.18
2042,13384.61
2043,13867.4
2044,14321.55
2045,14747.06
2046,15143.93
2047,15512.16
2048,15851.75
2049,16162.7
2050,16445.01
