year,capacity_GWp
2024,1733.8
2025,2131.5
2026,2609
2027,3138.6
2028,3708.9
2029,4325.5
2030,4955.5
2031,5612
2032,6255.5
2033,6902
2034,7545
2035,8177.5
2036,8789.2
2037,9371.3
2038,9936.3
2039,10472.3
2040,10980.4
2041,11460
2042,11915.5
2043,12339.4
2044,12738.5
2045,13114.3
2046, 13452.8
2047, 13754.6
2048, 14023.6
2049, 14260.8
2050, 14457.9
