year,capacity_GWp
2024,1545
2025,1854
2026,2206
2027,2603
2028,3046
2029,3533
2030,4063
2031,4632
2032,5234
2033,5863
2034,6507
2035,7158
2036,7838
2037,8544
2038,9270
2039,10011
2040,10762
2041,11516
2042,12264
2043,13000
2044,13715
2045,14401
